id,prompt_text,input_type,input_config,version,is_active
100118,"4. In your own words, explain how your work values and your life values work together.",textarea,,1,True
100119,"1. Find a character from a book, series, movie, or real life for each mindset. The mindset should be that character's defining quality.",textarea,,1,True
100120,2. Defend your choices. Explain how and why these characters exemplify the mindset. Give examples.,textarea,,1,True
100121,3. What does embodying the mindset help the character to accomplish?,textarea,,1,True
100122,1. What do you need to survive?,textarea,,1,True
100123,2. How would a comfortable life for you look?,textarea,,1,True
100124,3. What does happiness mean to you?,textarea,,1,True
100125,4. What is your definition of success?,textarea,,1,True
100126,"5. If you had three wishes, what would they be?",textarea,,1,True
100127,6. Describe your dream life.,textarea,,1,True
100128,7. What are you willing to do to achieve your standards?,textarea,,1,True
100129,8. What strikes fear into your bones?,textarea,,1,True
100130,9. Detail some actions you think you could take to conquer those fears.,textarea,,1,True
100131,10. What situation over the next year are you afraid of failing?,textarea,,1,True
100132,11. Give three opportunistic perspectives on that situation.,textarea,,1,True
100133,12. Brainstorm actions you could take to excel in that situation.,textarea,,1,True
100134,13. Describe a time you overcame your fear.,textarea,,1,True
100135,14. Have you ever had an authority figure who motivated you? What about that person motivated you?,textarea,,1,True
100136,15. What is the worst possible situation you can accept for your life?,textarea,,1,True
100137,"16. Describe the last time you were down. (Financially, emotionally, in performance, you choose your frame)",textarea,,1,True
100138,17. What did you do to improve your situation?,textarea,,1,True
100139,18. What could you have done better?,textarea,,1,True
100140,1.,textarea,,1,True
100141,2.,textarea,,1,True
100142,3.,textarea,,1,True
100143,"Then, once you have designed a timeline, give this life option, this branch of your tree, a complete and accurate title. Describe your potential life in a way that suits you now, your roots, and this future.",textarea,,1,True
100144,a. time – do you have the time to pull this off?,slider,"{""min"": 1, ""max"": 10}",1,True
100145,,textarea,,1,True
100146,"b. Funding – do you need any additional funds, are there any financial risks you are taking?",slider,"{""min"": 1, ""max"": 10}",1,True
100147,,textarea,,1,True
100148,"c. Skills – do you already have all the necessary skills, or are there some you still need to learn?",slider,"{""min"": 1, ""max"": 10}",1,True
100149,,textarea,,1,True
100150,d. Contacts – do you know anyone doing this? Do you know anyone in the industry?,slider,"{""min"": 1, ""max"": 10}",1,True
100151,,textarea,,1,True
100152,"2. Excitement – are you excited about this prospect? When you imagine this life unfolding in front of you, how does it make you feel?",slider,"{""min"": 1, ""max"": 10}",1,True
100153,,textarea,,1,True
100154,3. Confidence – How confident are you in this prospect?,slider,"{""min"": 1, ""max"": 10}",1,True
100155,,textarea,,1,True
100156,4. Coherence – How in line with your work values and your life values is this idea?,slider,"{""min"": 1, ""max"": 10}",1,True
100157,,textarea,,1,True
100158,"5. Work Needs – consider your work priorities and all the pieces from Part 1. Does this idea support your roots? Consider location, financial needs, and any other areas of importance to you.",slider,"{""min"": 1, ""max"": 10}",1,True
100159,,textarea,,1,True
100160,6. Discovery – what will you learn from this journey? What is the impact of choosing this path?,textarea,,1,True
100161,What do you want to achieve by telling your story?,textarea,,1,True
100162,"Brainstorm, make notes and generate ideas now.",textarea,,1,True
100163,"In 10 words or less, what is the theme or meaning that ties your life together?",text_input,,1,True
100164,"- Quickly jot down emotions, adjectives, and other vital descriptors associated with each story",textarea,,1,True
100165,"- Describe the life lesson you learned in every story, using six words or less for each",textarea,,1,True
100166,- How does each of these life lessons tie into the theme of your life? Be explicit.,textarea,,1,True
100167,- Record 2-5 times you built a fantastic rapport with someone,textarea,,1,True
100168,"The first story is your identity story. Not an autobiography. It should be about 1 page typed and needs to make sense of your values, work history, future goals, and your life mission. It is the story you tell yourself, the ideal which you try to live by. We will build off of this story to create your resume, elevator pitch, and your general presentation, it does not need to be any of those yet. Explain your roots, how they made you who you are, and how you have grown into an intentional and capable person that you are today. You may not feel as though you have a cohesive story. This is your opportunity to create that story. Take your time and revisit this task occasionally. To move forward in the process, you need to have an explicitly written identity. Write your story now.",textarea,,1,True
100169,• Consistency: Is the story consistent with the way you conduct your life now?,textarea,,1,True
