id,prompt_text,input_type,input_config,version,is_active
100037,"List every work condition which had a positive impact upon you, your mood, or your effectiveness.",textarea,,1,True
100038,"List every work condition which had a negative impact upon you, your mood, or your effectiveness.",textarea,,1,True
100039,What would the opposite of those negative influences be?,textarea,,1,True
100040,How does the office look?,textarea,,1,True
100041,What is nearby?,textarea,,1,True
100042,Are there any important features?,textarea,,1,True
100043,What part of the city or town is best?,textarea,,1,True
100044,Is it near child care?,textarea,,1,True
100045,What else can you think of?,textarea,,1,True
100046,Review each job or experience you have had. Recall and record the traits of the people who hurt your productivity in any way. Focus on what about them made your work less productive. List the harmful character traits.,textarea,,1,True
100047,Write the antonym of each of those negative traits.,textarea,,1,True
100048,Review each job or experience you have had. Recall and record the traits of the people who helped your productivity in any way.,textarea,,1,True
100049,"Recall any time when you were particularly productive. Who was directing you? Were you serving anyone (client, etc.)? What traits do those people have that support a positive work environment?",textarea,,1,True
100050,What types of people do you want to work with?,textarea,,1,True
100051,"Do you prefer to work in teams, pairs, or alone?",radio_group,,1,True
100052,What types of people do you want to work for?,textarea,,1,True
100053,Who in this world do you want to serve with your work?,textarea,,1,True
100054,"Record how much you have made at each of your positions, including any changes in pay at any one position.",textarea,,1,True
100055,What benefits do you need?,textarea,,1,True
100056,"**Salary** (aggregate pay per year or month, regardless of hours worked)",textarea,,1,True
100057,**Hourly** (pay for time worked),textarea,,1,True
100058,"**Contracting** (pay agreed upon per project, typical for freelancers)",textarea,,1,True
100059,**Commission** (% of sale per sale),textarea,,1,True
100060,"**Combination of above, or Other** (specify)",textarea,,1,True
100061,"If you feel the need to be more specific about any factor, explain here:",textarea,,1,True
100062,"Is there any activity, task, or skill which you find both highly energizing and highly captivating?",textarea,,1,True
100063,Are there any activities which you find both highly energizing and highly captivating?,textarea,,1,True
100064,Are there any activities which you find both highly energizing and highly captivating?,textarea,,1,True
100065,What stories from your childhood have helped shape who you are today?,textarea,,1,True
100066,What family relationships have had particularly significant impacts upon your beliefs?,textarea,,1,True
100067,Do you have any elderly family members you care for or support? How does this shape your needs?,textarea,,1,True
100068,Do you have any children you care for or support? How does this shape your needs?,textarea,,1,True
100069,"Do you have any family members or stories which inspire you? If so, give details.",textarea,,1,True
100070,What are the most significant lessons your family has taught you?,textarea,,1,True
100071,"What group, or groups, do you identify with?",textarea,,1,True
100072,"Are you involved in any organizations, religious groups, neighborhood associations, group of friends, gaming club, or other regularly organized social events?",textarea,,1,True
100073,Why are you involved in those groups?,textarea,,1,True
100074,Do you have any personal goals concerning your community?,textarea,,1,True
100075,Is there anything that might cause you to leave your community?,textarea,,1,True
100076,Are there any worldly issues that are important to you? What are they?,textarea,,1,True
100077,What are some lessons people should learn from history?,textarea,,1,True
100078,Are there any worldly problems which you feel the need to help solve?,textarea,,1,True
100079,Have you ever traveled outside of your country? Your continent?,textarea,,1,True
100080,What have you learned from other cultures of the world?,textarea,,1,True
100081,What do you think the world will look like in 10 years?,textarea,,1,True
100082,What do you think the world will look like in 50 years?,textarea,,1,True
100083,What do you think the world will look like in 100 years?,textarea,,1,True
100084,They say that you are your own hardest critic. Critique yourself. What can you do better?,textarea,,1,True
100085,What are your strengths?,textarea,,1,True
100086,"Do you have an idea or memory which makes you feel most like yourself? If so, describe it.",textarea,,1,True
100087,What do you love about yourself?,textarea,,1,True
100088,What major life events have shaped you? Briefly describe them.,textarea,,1,True
100089,What is your greatest gift?,textarea,,1,True
100090,Are you willing to do what needs to be done?,textarea,,1,True
100091,Selected skill:,text,,1,True
100092,Who do you look up to? Who is your role model? Why?,textarea,,1,True
100093,What about that person (those people) do you admire? What characteristics do they have that you don't?,textarea,,1,True
100094,What are the bad habits you need to quit?,textarea,,1,True
100095,What are the good habits you need to start?,textarea,,1,True
100096,What promises do you need to keep? To yourself? To those you care about?,textarea,,1,True
100097,What has stopped you from keeping those promises?,textarea,,1,True
100098,Time of day:,text,,1,True
100099,Duration:,text,,1,True
100100,Location:,text,,1,True
100101,Morning:,textarea,,1,True
100102,Midday:,textarea,,1,True
100103,Evening:,textarea,,1,True
100104,"Overall, how are you?",textarea,,1,True
100105,What does work mean to you?,textarea,,1,True
100106,Why do you work?,textarea,,1,True
100107,Why do other people work?,textarea,,1,True
100108,What is the purpose of people working?,textarea,,1,True
100109,"Other than money, what is gained from work?",textarea,,1,True
100110,"Are honor, growth, or fulfillment essential to work? Explain.",textarea,,1,True
100111,What work would you do if all your needs were guaranteed?,textarea,,1,True
100112,Is there a meaning of life? Give details.,textarea,,1,True
100113,What is the meaning of your life?,textarea,,1,True
100114,Why do we exist?,textarea,,1,True
100115,What is good?,textarea,,1,True
100116,What is evil?,textarea,,1,True
100117,What is happiness?,textarea,,1,True
100118,Is there a higher being?,textarea,,1,True
100119,Why do we experience pain and suffering?,textarea,,1,True
100120,"Is there some deeper meaning, mission, or purpose to life?",textarea,,1,True
100121,What injustices are there in the world?,textarea,,1,True
100122,Where do your two value systems support each other?,textarea,,1,True
100123,Where do they disagree?,textarea,,1,True
100124,Is one more important to you than the other? Which one? Why?,textarea,,1,True
100125,"In your own words, explain how your work values and your life values work together.",textarea,,1,True
100126,**My Value Compass:** Write a brief statement that captures the overlap between your work values and life values—this is your guiding light for career decisions.,textarea,,1,True
100127,Defend your choices. Explain how and why these characters exemplify the mindset. Give examples.,textarea,,1,True
100128,What does embodying the mindset help the character to accomplish?,textarea,,1,True
100129,What do you need to survive?,textarea,,1,True
100130,How would a comfortable life for you look?,textarea,,1,True
100131,What does happiness mean to you?,textarea,,1,True
100132,What is your definition of success?,textarea,,1,True
100133,"If you had three wishes, what would they be?",textarea,,1,True
100134,Describe your dream life.,textarea,,1,True
100135,What are you willing to do to achieve your standards?,textarea,,1,True
100136,What strikes fear into your bones?,textarea,,1,True
100137,Detail some actions you think you could take to conquer those fears.,textarea,,1,True
100138,What situation over the next year are you afraid of failing?,textarea,,1,True
100139,Give three opportunistic perspectives on that situation. (Practice reframing),textarea,,1,True
100140,Brainstorm actions you could take to excel in that situation.,textarea,,1,True
100141,Describe a time you overcame your fear.,textarea,,1,True
100142,Have you ever had an authority figure who motivated you? What about that person motivated you?,textarea,,1,True
100143,What is the worst possible situation you can accept for your life?,textarea,,1,True
100144,"Describe the last time you were down. (Financially, emotionally, in performance—you choose your frame)",textarea,,1,True
100145,What did you do to improve your situation?,textarea,,1,True
100146,What could you have done better?,textarea,,1,True
100147,Career Option 1:,textarea,,1,True
100148,Career Option 2:,textarea,,1,True
100149,Career Option 3:,textarea,,1,True
100150,Option 1 Title:,text,,1,True
100151,Option 2 Title:,text,,1,True
100152,Option 3 Title:,text,,1,True
100153,My target level: (1-5),select,,1,True
100154,Competencies I can demonstrate:,textarea,,1,True
100155,Competencies I need to develop:,textarea,,1,True
100156,What do you want to achieve by telling your story?,textarea,,1,True
100157,"**In 10 words or less, what is the theme or meaning that ties your life together?**",textarea,,1,True
100158,List 3-10 evocative stories from your past. (Remember your SOARED stories from Exercise 1.1.1c),textarea,,1,True
100159,"Quickly jot down emotions, adjectives, and other vital descriptors associated with each story.",textarea,,1,True
100160,"Describe the life lesson you learned in every story, using six words or less for each.",textarea,,1,True
100161,How does each of these life lessons tie into the theme of your life? Be explicit.,textarea,,1,True
100162,Record 2-5 times you built a fantastic rapport with someone.,textarea,,1,True
100163,What made those interactions successful?,textarea,,1,True
100164,Write your identity story here (approximately 1 page):,textarea,,1,True
100165,Write your allegory here (approximately 1 page):,textarea,,1,True
100166,What descriptive language stands out as universal or commonly used in the job descriptions?,textarea,,1,True
100167,"Which descriptors stand out as being the best, while also describing you, your experience, or your skills?",textarea,,1,True
100168,"Look back through your roots (Part 1), and record everything you have done that supports your credible claim to the position you are seeking.",textarea,,1,True
100169,Prioritize these skills and experiences according to how important they are to your successful execution of the tasks described.,textarea,,1,True
100170,What would be the title of the job that you want most?,text,,1,True
100171,Are there any keywords or phrases you think you should use in this job title?,textarea,,1,True
100172,Write a short (3-5 sentences) summary of your experience. Draw on your roots and how well the position fits into your identity story.,textarea,,1,True
100173,"In 10 words or less, explain why you are the perfect fit for this job and career.",text,,1,True
100174,Summarize your identity story and professional achievements in 2-3 sentences.,textarea,,1,True
100175,Write a clear and conclusive personal introduction in 6-12 words. (This is your headline.),text,,1,True
100176,Google search completed,checkbox,,1,True
100177,Image search completed,checkbox,,1,True
100178,Issues identified:,textarea,,1,True
100179,Actions taken:,textarea,,1,True
100180,Profile picture updated,checkbox,,1,True
100181,Cover photo updated,checkbox,,1,True
100182,Old profile pictures reviewed,checkbox,,1,True
100183,Privacy settings reviewed,checkbox,,1,True
100184,Posts reviewed and cleaned,checkbox,,1,True
100185,About section updated,checkbox,,1,True
100186,Tagged photos reviewed,checkbox,,1,True
100187,Posted photos reviewed,checkbox,,1,True
100188,Profile picture updated,checkbox,,1,True
100189,Headline:,text,,1,True
100190,Current position:,text,,1,True
100191,Custom URL: linkedin.com/in/,text,,1,True
100192,Visibility settings adjusted,checkbox,,1,True
100193,Work experience added,checkbox,,1,True
100194,Education added,checkbox,,1,True
100195,Skills added,checkbox,,1,True
100196,"List any professional websites you run, blogs that help establish your legitimacy, etc.",textarea,,1,True
100197,"Reflect on your self-awareness. What are your strengths, flaws, and presence?",textarea,,1,True
100198,What genuine questions do you have about your target industry and the people in it?,textarea,,1,True
100199,What actions have you been putting off? What would happen if you took them today?,textarea,,1,True
100200,What is your biggest obstacle right now? Reframe it as an opportunity.,textarea,,1,True
100201,Who in your network could help you? Who could you help?,textarea,,1,True
100202,List 3-4 fields of work that give you the best chance of feeling productive and living a life full of value.,textarea,,1,True
100203,Which field of work is most appealing to you and best fits your needs?,textarea,,1,True
