sequence,part,module,exercise,activity,block_type,content_type,input_type,tool_id,connection_id,content
35,1,1,1,1,tool,,,list_builder,,"For each item above, add the tasks and skills you performed. Grade each skill on mastery (a=Novice through e=Master)."
36,1,1,1,2,content,heading,,,,Activity 1.1.1b: Challenge Stories Collection
37,1,1,1,2,content,instruction,,,,"Think of a time you overcame a challenge (inside or outside of work), a time you soared. Capture one story for each prompt below."
38,1,1,1,2,prompt,,textarea,,,A time when you had an impact
39,1,1,1,2,prompt,,textarea,,,A time you did something no one else around could have done
40,1,1,1,2,prompt,,textarea,,,A time when you were genuinely excited
41,1,1,1,2,prompt,,textarea,,,A time when you impressed yourself
42,1,1,1,2,prompt,,textarea,,,A time when everything went according to plan
43,1,1,1,2,prompt,,textarea,,,A time when nothing went according to plan
44,1,1,1,2,prompt,,textarea,,,A time when you loved what you were doing
45,1,1,1,2,prompt,,textarea,,,A time you did something you would like to do again
46,1,1,1,2,prompt,,textarea,,,A time you did something you would not normally do
47,1,1,1,2,prompt,,textarea,,,Any other story which represents your skillset
48,1,1,1,3,content,heading,,,,Activity 1.1.1c: SOARED Story Development
49,1,1,1,3,content,instruction,,,,Choose the three (3) most impactful stories from above and develop them using the SOARED framework.³
50,1,1,1,3,content,instruction,,,,**S**ituation – describe the situation<br>**O**bstacle – describe the obstacle/problem you faced<br>**A**ction – describe your action: the step-by-step process you took to address the obstacle<br>**R**esult – describe the result of your actions<br>**E**valuation – your self-evaluation and/or how higher-ups received your actions<br>**D**iscovery – describe what you discovered from the process
51,1,1,1,3,tool,,,soared_form,,Story 1
52,1,1,1,3,tool,,,soared_form,,Story 2
53,1,1,1,3,tool,,,soared_form,,Story 3
54,1,1,1,4,content,heading,,,,Activity 1.1.1d: Skills Organization & Mastery Rating
55,1,1,1,4,content,instruction,,,,"Review every transferable skill you used in each of your stories. Organize them from most used to least used, and grade each on mastery."
56,1,1,1,4,tool,,,skill_tagger,,Tag skills from your stories. Use the Skills Library for reference.
57,1,1,1,5,content,heading,,,,Activity 1.1.1e: Top 10 Skills Ranking
58,1,1,1,5,content,instruction,,,,"From all the skills you've identified in Activities 1.1.1a-d, select your top 10 by mastery level."
59,1,1,1,5,tool,,,list_builder,C003,Select your top 10 mastered skills.
60,1,1,1,5,content,instruction,,,,Now rank these 10 skills by importance to you—which do you most want to use in your next role?
61,1,1,1,5,tool,,,ranking_grid,PREV,Rank your items in order of priority.
62,1,1,2,0,content,heading,,,,Exercise 1.1.2: Self-Management Skills Assessment
63,1,1,2,0,content,instruction,,,,**Purpose:** Identify your self-management skills (soft skills) using personality assessment and self-reflection.
64,1,1,2,0,content,instruction,,,,These are often referred to as Soft Skills. You can find lists of common soft skills that random internet people claim will get you any job. Describing ourselves can be difficult. Doing so originally and authentically can be even more challenging.
65,1,1,2,0,content,heading,,,,Self-Identification Basics
66,1,1,2,0,content,instruction,,,,"The Enneagram, Myers-Briggs, the Big 5, and the Self-Directed Search are the most commonly used personality tests. Each has its strengths and weaknesses, and they are more alike than they are different."
67,1,1,2,0,content,instruction,,,,"We will be using an adaptation of Myers-Briggs⁴ as a tool to help us learn about ourselves. It will help you frame your personality in a way which is easier to understand and give you a starting place for finding creative ways to describe yourself. I do not put my full faith into any skills test for many reasons, so remember, this is only a tool."
68,1,1,2,0,content,instruction,,,,No personality test is perfect. We will use an adaptation of the Myers-Briggs to give you a starting point for your Self-Inventory.
69,1,1,2,1,content,heading,,,,Activity 1.1.2a: Personality Type Discovery
70,1,1,2,1,content,instruction,,,,The questionnaire will assign you a four-letter code upon completion. Each letter represents your bias on a set of four scales:
71,1,1,2,1,content,instruction,,,,- **Extroversion (E) vs. Introversion (I)**<br>- **Sensing (S) vs. Intuition (N)**<br>- **Thinking (T) vs. Feeling (F)**<br>- **Judging (J) vs. Perceiving (P)**
72,1,1,2,1,content,instruction,,,,"Few people fit their type perfectly. Do not let the results define you. Instead, consider the truths and make a note of the differences."
73,1,1,2,1,content,instruction,,,,The purpose of this exercise is to illuminate your character traits and to open your mind to possibilities.
74,1,1,2,1,content,instruction,,,,"While taking the test, it is essential to answer the questions honestly, as they apply to you. There are no wrong answers. Although some of your responses may make you slightly uncomfortable, it is crucial to be as honest as you are able. The more accurate you are, the more this tool can help you."
75,1,1,2,1,content,instruction,,,,**Take the free assessment at:** www.16personalities.com⁵
76,1,1,2,1,tool,,,mbti_selector,,Enter your four-letter personality code.
77,1,1,2,1,content,note,,,,"The website where you take the test is a useful resource. Feel free to learn about your type from them, but it is not necessary for this program."
78,1,1,2,2,content,heading,,,,Activity 1.1.2b: Dichotomy Self-Rating
79,1,1,2,2,content,instruction,,,,"To be more confident in your type, read through each of these relative dichotomies and mark yourself on each scale:"
80,1,1,2,2,content,instruction,,,,"**Extraverts** are more likely to be energized by company, enjoy being the center of attention, keep a fast pace, and talk more than they listen.<br>**Introverts** are more likely to be energized by alone time, be more private, keep their thoughts to themselves, and listen before speaking."
81,1,1,2,2,prompt,,slider,,,Rate yourself: Extraversion (E) ←→ Introversion (I)
82,1,1,2,2,content,instruction,,,,**Sensors** tend to be concerned with certainty and what is realistic. They tend to be more literal and are oriented towards the present situation.<br>**Intuitives** tend to be concerned with innovation and what is possible. They tend to be more figurative and are oriented towards the future.
83,1,1,2,2,prompt,,slider,,,Rate yourself: Sensing (S) ←→ Intuition (N)
84,1,1,2,2,content,instruction,,,,"**Thinkers** are likely to be most concerned with logic, applying impersonal analysis to opportunities and decisions. They can be seen as detached or heartless.<br>**Feelers** are likely to be most concerned with harmony, empathizing with involved parties with tact when making decisions. May be seen as overemotional, valuing all feelings equally."
85,1,1,2,2,prompt,,slider,,,Rate yourself: Thinking (T) ←→ Feeling (F)
86,1,1,2,2,content,instruction,,,,**Judgers** tend to derive the most satisfaction with the completion of a task and manage their time as a finite resource.<br>**Perceivers** prefer to keep their options open and thrive when adapting to new situations. They often view time and deadlines as elastic.
87,1,1,2,2,prompt,,slider,,,Rate yourself: Judging (J) ←→ Perceiving (P)
88,1,1,2,2,content,note,,,,"See your Personality Profile for more information about your type: strengths & weaknesses, common character traits, strategies, descriptive words, and more."
89,1,1,2,2,content,instruction,,,,"Remember, no test can tell you who you are, but these tools can help you describe your talents and identify your weaknesses."
90,1,1,2,3,content,heading,,,,Activity 1.1.2c: Soft Skills Identification
91,1,1,2,3,content,instruction,,,,"In your Personality Profile, you will find Self-Management Skills that generally apply to your personality type.⁶ Review your profile and the Skills Library for a comprehensive list."
92,1,1,2,3,prompt,,textarea,,,"Record any characteristics, strengths, and weaknesses which describe you."
93,1,1,2,3,prompt,,textarea,,,"Record 1-5 characteristics, strengths, or weaknesses which match your MBTI type, but not you personally. Explain why they are false."
94,1,1,2,4,content,heading,,,,Activity 1.1.2d: Top 10 Soft Skills Ranking
95,1,1,2,4,content,instruction,,,,Choose your ten favorite soft skills from above and rank them from your first favorite to your tenth.
96,1,1,2,4,tool,,,list_builder,,Select your top 10 soft skills.
97,1,1,2,4,tool,,,ranking_grid,PREV,Rank your items in order of priority.
98,1,1,2,5,content,heading,,,,Activity 1.1.2e: Skills Description with Evidence
99,1,1,2,5,content,instruction,,,,"Now combine your self-management skills with your transferable skills to create powerful, evidence-backed descriptions."
100,1,1,2,5,content,instruction,,,C006,Use your Self-Management Skills to accurately describe your top ten Transferable Skills.
101,1,1,2,5,prompt,,textarea,C007,,"For each skill, note a specific time you demonstrated it. Draw from your SOARED stories for evidence."
102,1,1,2,5,prompt,,textarea,,,Add HONEST hard figures to your descriptions. Numbers. Data. Records. Accomplishments. They must be HONEST. You do not want to lie or exaggerate.
103,1,1,3,0,content,heading,,,,Exercise 1.1.3: Knowledge Audit
104,1,1,3,0,content,instruction,,,,**Purpose:** Document all your areas of knowledge and expertise with mastery ratings.
105,1,1,3,0,content,instruction,,,,"Now dive into what you know. The subject matter, the processes, your interests, everything. It is imperative to include everything you know here (or at least as much as possible)."
106,1,1,3,0,content,instruction,,,,"**Knowledges** are the things you know, generally nouns.<br>*Example: Spanish, chemical engineering, graphic design*"
107,1,1,3,0,content,instruction,,,,"From work. From your education. From your hobbies. From your interests. From any of your groups or clubs. If it comes to mind, write it down."
108,1,1,3,0,content,instruction,,,,You want to start broad. Take stock of everything first. Then grade them according to Mastery.
109,1,1,3,0,content,note,,,,Browse the Skills Library for ideas and reference examples.
110,1,1,3,1,content,heading,,,,Activity 1.1.3a: Professional & Educational Knowledge
111,1,1,3,1,prompt,,textarea,,,Write down every job you have had.
112,1,1,3,1,prompt,,textarea,,,"Write every skill, process, or task you had to perform for those jobs."
113,1,1,3,1,prompt,,textarea,,,"Write down every course, program, training, and degree you have completed."
114,1,1,3,1,prompt,,textarea,,,"Write every skill, process, or task you had to perform pursuing those."
115,1,1,3,2,content,heading,,,,Activity 1.1.3b: Personal Interest Knowledge
116,1,1,3,2,prompt,,textarea,,,"What else do you know? What are your favorite hobbies? What do you research in your free time? If you wrote a book, what would the content be?"
117,1,1,3,2,prompt,,textarea,,,What tasks or activities seem to make time fly?
118,1,1,3,3,content,heading,,,,Activity 1.1.3c: Field Exploration
119,1,1,3,3,content,instruction,,,,"What fields, careers, or industries sound interesting to you? Check your Personality Profile for ideas based on your type."
120,1,1,3,3,prompt,,textarea,,,"List fields, careers, or industries that interest you."
121,1,1,3,4,content,heading,,,,Activity 1.1.3d: Mastery Rating
122,1,1,3,4,content,instruction,,,,Grade each knowledge you've listed on Mastery: Novice (a) through Master (e).
123,1,1,3,4,tool,,,list_builder,,Compile your knowledge inventory with mastery ratings.
124,1,1,3,0,content,heading,,,,Module 1.1 Footnotes
125,1,1,3,0,content,note,,,,"1. Burnett, Bill, and Dave Evans. *Designing Your Life: How to Build a Well-Lived, Joyful Life.* New York: Alfred A. Knopf, 2016. The four life categories (work, play, love, health) provide the foundational framework for Part 1."
126,1,1,3,0,content,note,,,,"2. Fine, Sydney A. ""Functional Job Analysis Scales: A Desk Aid."" Milwaukee: Sidney A. Fine Associates, 1989."
127,1,1,3,0,content,note,,,,"3. SOARED Framework is an original tool created by Braedon Long for this program. SOARED stands for: Situation, Obstacle, Action, Results, Evaluation, Discovery."
128,1,1,3,0,content,note,,,,"4. Myers-Briggs Type Indicator. Developed by Katharine Cook Briggs and Isabel Briggs Myers, based on Carl Jung's theory of psychological types."
129,1,1,3,0,content,note,,,,"5. NERIS Analytics Limited. ""16Personalities"" (website). www.16personalities.com. Free personality assessment tool based on Myers-Briggs framework."
130,1,1,3,0,content,note,,,,"6. Tieger, Paul D., and Barbara Barron-Tieger. *Do What You Are: Discover the Perfect Career for You Through the Secrets of Personality Type.* Boston: Little, Brown and Company, 1992."
131,1,1,3,0,content,instruction,,,,"**Module 1.1 Complete**<br>Next: Module 1.2 - Work Factors 2 (Environment, People, Compensation)"
132,1,2,0,0,content,heading,,,,Module 1.2: Work Factors 2
133,1,2,0,0,content,heading,,,,Module Overview
134,1,2,0,0,content,instruction,,,,"**Focus:** Environment, People & Compensation<br>**Purpose:** Identify your preferred work environment (macro and micro), ideal colleagues and supervisors, and compensation needs<br>**Estimated Time:** 1.5-2 hours<br>**Key Tools:** Ranking Grid, Budget Calculator"
135,1,2,0,0,content,instruction,,,,**Outputs:**
136,1,2,0,0,content,instruction,,,,- Top 10 ranked locations
137,1,2,0,0,content,instruction,,,,- Ideal workplace description
138,1,2,0,0,content,instruction,,,,- Ideal people profile
139,1,2,0,0,content,instruction,,,,- Complete budget with minimum salary requirements (BATNA)
140,1,2,0,0,content,heading,,,,Environment
141,1,2,0,0,content,instruction,,,,"**Location, Location, Location**"
142,1,2,0,0,content,instruction,,,,There are two types of location: Macro and Micro.
143,1,2,0,0,content,instruction,,,,**Macro** – Where in the world do you want to be? Do you want to stay in your town or city? Or would you rather be somewhere else? Are there specific activities you wish to have access to? Do you need to live in a city? Or do you prefer the quiet life of the country?
144,1,2,0,0,content,instruction,,,,**Micro** – What should your work environment be? Do you need to spend time outside? Is it necessary that you work near a park? Or do you prefer to spend your time indoors? What are your preferred working conditions? Micro-environment might be considered the look and feel of the workplace.
145,1,2,0,0,content,instruction,,,,"Of course, the more flexible you are, the more opportunities you will find. Also, generally speaking, where there are more people, there are more opportunities. Still, it is essential to know your preferences; you might find your dream job in your dream location. There is only one way to find out."
146,1,2,0,0,content,instruction,,,,"Do this exercise even if you feel you already know where you want to be. First of all, you might surprise yourself. If not, then you have found more evidence to support what you already thought."
147,1,2,1,0,content,heading,,,,Exercise 1.2.1: Macro Environment Preferences
148,1,2,1,0,content,instruction,,,,**Purpose:** Identify and rank your preferred geographic locations for living and working.
149,1,2,1,1,content,heading,,,,Activity 1.2.1a: Location Desires & Constraints
150,1,2,1,1,prompt,,textarea,,,"Do you know where you want to live? If you do, write that here. If not, write down the characteristics of a place that you might want to live. (Example: by the ocean, has an active nightlife, quiet, access to nature, etc.)"
151,1,2,1,1,prompt,,textarea,,,What are your location constraints?
152,1,2,1,1,prompt,,textarea,,,Do you need to live in a specific country?
153,1,2,1,1,prompt,,textarea,,,Do you need to stay close to your family?
154,1,2,1,1,prompt,,textarea,,,Do you have medical needs that affect location?
155,1,2,1,2,content,heading,,,,Activity 1.2.1b: Past Location Analysis
156,1,2,1,2,content,instruction,,,,"Struggling for ideas? Even if you are 100% certain, do the following:"
157,1,2,1,2,prompt,,textarea,,,Write down every place you have lived.
158,1,2,1,2,prompt,,textarea,,,List every single thing you disliked about those places. (What does it have? What does it lack? What type of people are there? What feelings does it give you?)
159,1,2,1,2,prompt,,textarea,,,"List the opposites of each of the location traits you dislike. Also, list any positive traits that come to mind."
160,1,2,1,2,tool,,,list_builder,,Add your positive location traits.
161,1,2,1,2,tool,,,ranking_grid,PREV,Rank your location traits by importance.
162,1,2,1,3,content,heading,,,,Activity 1.2.1c: Location Research (Internet)
163,1,2,1,3,content,instruction,,,,Research. Open your mind to possibilities. Find as many good ideas as possible. Look for places that meet your needs and have as many of your top 5 location traits as possible.
164,1,2,1,3,prompt,,textarea,,,Search the Internet for places which excel in each of your desired traits. Are there any which excel in multiple? Find 5-10 places which make you excited. Record what excites you about each location.
165,1,2,1,4,content,heading,,,,Activity 1.2.1d: Location Research (Network)
166,1,2,1,4,content,instruction,,,,"Ask around. Family, friends, colleagues, acquaintances—you never know what treasure they hold until you ask."
167,1,2,1,4,prompt,,textarea,,,Share your ranked list of location traits and ask 10-20 people if they know of anywhere which has those traits. Record their ideas. Are there any locations which excel in multiple traits? Find 5-10 places which make you excited.
168,1,2,1,5,content,heading,,,,Activity 1.2.1e: Top 10 Location Ranking
169,1,2,1,5,content,instruction,,,,Narrow down your two lists to a single list of 10 possible locations. Rank those ten from most exciting down.
170,1,2,1,5,tool,,,list_builder,,Select your top 10 locations.
171,1,2,1,5,tool,,,ranking_grid,PREV,Rank your items in order of priority.
172,1,2,1,5,content,note,,,,"**If you have a partner:** Both do Activities 1.2.1a & 1.2.1b separately, then discuss your preferred traits. Rank your combined traits using the Ranking Grid. Complete research together and agree upon ten possible locations."
173,1,2,1,5,content,instruction,,,,Pay special attention to your top 3 locations.
174,1,2,2,0,content,heading,,,,Exercise 1.2.2: Micro Environment Preferences
175,1,2,2,0,content,instruction,,,,**Purpose:** Define your ideal workplace environment and conditions.
176,1,2,2,0,content,instruction,,,,"Now we will focus on the look and feel of the workplace. For each of the following, consider each productive space you have ever had. You may include classrooms, a desk at home, a library, or a cafe. Any space where you get work done is worth studying."
177,1,2,2,1,content,heading,,,,Activity 1.2.2a: Workplace History Review
178,1,2,2,1,prompt,,textarea,,,List every job you have had.
179,1,2,2,1,prompt,,textarea,,,"List every work condition which had a positive impact upon you, your mood, or your effectiveness."
180,1,2,2,1,prompt,,textarea,,,"List every work condition which had a negative impact upon you, your mood, or your effectiveness."
181,1,2,2,1,prompt,,textarea,,,What would the opposite of those negative influences be?
182,1,2,2,2,content,heading,,,,Activity 1.2.2b: Ideal Workplace Description
183,1,2,2,2,content,instruction,,,,Consider all of the above. Describe your ideal workplace.
184,1,2,2,2,prompt,,textarea,,,How does the office look?
185,1,2,2,2,prompt,,textarea,,,What is nearby?
186,1,2,2,2,prompt,,textarea,,,Are there any important features?
187,1,2,2,2,prompt,,textarea,,,What part of the city or town is best?
188,1,2,2,2,prompt,,textarea,,,Is it near child care?
189,1,2,2,2,prompt,,textarea,,,What else can you think of?
190,1,2,3,0,content,heading,,,,Exercise 1.2.3: People Preferences
191,1,2,3,0,content,instruction,,,,**Purpose:** Identify the characteristics of people you work well with and for.
192,1,2,3,0,content,instruction,,,,"For many, we spend more time with the people we work with than the people we live with. For that reason, aim to have a clear idea of whom you work well with, what types of people can help you to be more productive, and what kinds of people are a negative influence on your work and life."
193,1,2,3,0,content,instruction,,,,"Simply understanding these things does not guarantee that you will love your next co-workers, but it certainly helps to know what you are looking for."
194,1,2,3,0,content,instruction,,,,"It is also essential to understand the type of people you like to work for. You work for your boss, and you work for your client, customer, pupil, audience, family, organization, etc. You work for the people who depend on you to do your job."
195,1,2,3,0,content,instruction,,,,"Some people thrive in competitive environments while others need emotional support. Some people need specific direction, and others need to be left to their expertise. Some people work extraordinarily well in groups, and others prefer solitary labor."
196,1,2,3,0,content,instruction,,,C010,Reflect on your experiences from Exercise 1.1.1 (Transferable Skills Inventory).
197,1,2,3,1,content,heading,,,,Activity 1.2.3a: Negative Influence Identification
198,1,2,3,1,prompt,,textarea,,,Review each job or experience you have had. Recall and record the traits of the people who hurt your productivity in any way. Focus on what about them made your work less productive. List the harmful character traits.
199,1,2,3,1,prompt,,textarea,,,Write the antonym of each of those negative traits.
200,1,2,3,2,content,heading,,,,Activity 1.2.3b: Positive Influence Identification
201,1,2,3,2,prompt,,textarea,,,Review each job or experience you have had. Recall and record the traits of the people who helped your productivity in any way.
202,1,2,3,2,prompt,,textarea,C011,,"Recall any time when you were particularly productive. Who was directing you? Were you serving anyone (client, etc.)? What traits do those people have that support a positive work environment?"
203,1,2,3,3,content,heading,,,,Activity 1.2.3c: Ideal Colleague & Supervisor Profile
204,1,2,3,3,prompt,,textarea,,,What types of people do you want to work with?
205,1,2,3,3,prompt,,radio_group,,,"Do you prefer to work in teams, pairs, or alone?"
206,1,2,3,3,prompt,,textarea,,,What types of people do you want to work for?
207,1,2,3,3,prompt,,textarea,,,Who in this world do you want to serve with your work?
208,1,2,4,0,content,heading,,,,Exercise 1.2.4: Compensation Analysis
209,1,2,4,0,content,instruction,,,,"**Purpose:** Determine your financial needs, benefit requirements, and establish your BATNA (Best Alternative To a Negotiated Agreement)."
210,1,2,4,0,content,instruction,,,,How much money do you want to make? How much money do you need to make? What are your needs? How much do you plan to save? What bonuses and extras are you seeking from your work?
211,1,2,4,1,content,heading,,,,Activity 1.2.4a: Salary History
212,1,2,4,1,prompt,,textarea,,,"Record how much you have made at each of your positions, including any changes in pay at any one position."
213,1,2,4,2,content,heading,,,,Activity 1.2.4b: Budget Creation
214,1,2,4,2,content,instruction,,,,"Create a complete budget. This will calculate your total monthly expenses, annual expenses, and minimum hourly wage."
215,1,2,4,2,tool,,,budget_calculator,,Calculate your budget needs.
216,1,2,4,2,content,instruction,,,,"Be diligent about your budget, and live within your means. Unless you are giving the loan, debt is not your friend. It is easy to spend money; it is difficult to save money. Wealth is built by saving and investing wisely."
217,1,2,4,3,content,heading,,,,Activity 1.2.4c: Benefits Assessment
218,1,2,4,3,prompt,,textarea,,,What benefits do you need?
219,1,2,4,4,content,heading,,,,Activity 1.2.4d: Compensation Structure Evaluation
220,1,2,4,4,content,instruction,,,,"Describe the benefits and drawbacks of each compensation type, for you."
221,1,2,4,4,prompt,,textarea,,,"**Salary** (aggregate pay per year or month, regardless of hours worked)"
222,1,2,4,4,prompt,,textarea,,,**Hourly** (pay for time worked)
223,1,2,4,4,prompt,,textarea,,,"**Contracting** (pay agreed upon per project, typical for freelancers)"
224,1,2,4,4,prompt,,textarea,,,**Commission** (% of sale per sale)
225,1,2,4,4,prompt,,textarea,,,"**Combination of above, or Other** (specify)"
226,1,2,4,0,content,heading,,,,Module 1.2 Footnotes
227,1,2,4,0,content,note,,,,"7. This approach to work-life integration draws from Paula Caligiuri's philosophy in *Get a Life, Not a Job: Do What You Love and Let Your Talents Work for You.* Upper Saddle River, NJ: FT Press, 2010."
228,1,2,4,0,content,instruction,,,,"**Module 1.2 Complete**<br>Next: Module 1.3 - Priorities, Ecstasy & Flow"
229,1,3,0,0,content,heading,,,,"Module 1.3: Priorities, Ecstasy & Flow"
230,1,3,0,0,content,heading,,,,Module Overview
231,1,3,0,0,content,instruction,,,,"**Focus:** Prioritizing work factors and understanding your peak performance states<br>**Purpose:** Rank your work factors by importance and identify activities that create flow states (high engagement + high energy)<br>**Estimated Time:** 1 hour initial + ongoing daily tracking<br>**Key Tools:** Ranking Grid, Flow Tracker<br>**Ongoing Practice:** Daily flow tracking continues through Part 3"
232,1,3,0,0,content,instruction,,,,**Outputs:**
233,1,3,0,0,content,instruction,,,,- Prioritized work factors (1-5 ranking)
234,1,3,0,0,content,instruction,,,,- Flow patterns identification
235,1,3,0,0,content,instruction,,,,"- List of high-engagement, high-energy activities"
236,1,3,1,0,content,heading,,,,Exercise 1.3.1: Work Factor Prioritization
237,1,3,1,0,content,instruction,,,,**Purpose:** Establish your personal hierarchy of work factors to guide career decisions.
238,1,3,1,0,content,instruction,,,C012,Consider your work factors from Modules 1.1 and 1.2.
239,1,3,1,0,content,instruction,,,,"When considering employment, what is most important to you?"
240,1,3,1,0,content,instruction,,,,**The Five Work Factors:**
241,1,3,1,0,content,instruction,,,,"- **Compensation** – how much money you earn, benefits, and bonus structure"
242,1,3,1,0,content,instruction,,,,- **Environment** – where in the world you live and the make-up of your office
243,1,3,1,0,content,instruction,,,,- **Skills** – being able to use the skills you have or learn new skills
244,1,3,1,0,content,instruction,,,,- **Knowledges** – being able to excel in your field of interest or expertise
245,1,3,1,0,content,instruction,,,,- **People** – getting along with the people you work with and for
246,1,3,1,1,content,heading,,,,Activity 1.3.1a: Five-Factor Ranking
247,1,3,1,1,content,instruction,,,,Rank your work factors from most important (1) to least important (5):
248,1,3,1,1,tool,,,ranking_grid,,"Rank: Compensation, Environment, Skills, Knowledges, People"
249,1,3,1,1,prompt,,textarea,,,"If you feel the need to be more specific about any factor, explain here:"
250,1,3,2,0,content,heading,,,,Exercise 1.3.2: Flow State Mapping
251,1,3,2,0,content,instruction,,,,**Purpose:** Identify activities and conditions that produce your optimal performance state.
252,1,3,2,0,content,instruction,,,,"You have documented all of your work factors and have thought about what is most important to you. Now, recall the time when you were the most present. For this step, you will reflect upon your past experiences to get a sense of how they affected you and your fundamental motivation. We're talking about the studied and admired sensation of flow."
253,1,3,2,0,content,instruction,,,,"Human beings are hardwired to experience flow. During states of flow, people are upwards of 500% more effective or productive doing their work.⁸ In short, the body achieves this by turning off the prefrontal cortex, effectively allowing the brain to remove criticism and doubt, exist deeply in the present moment, make more lateral connections between new and old information, and innovate upon those newly created ideas seamlessly."
254,1,3,2,0,content,instruction,,,,"Everyone experiences flow from time to time; the most brilliant among us learn to use it to their advantage. You can increase your chances of flow by practicing mindful paced breathing. Practice breathing evenly and in rhythm (try in for 5, out for 5). Your heart is the generator of your body, and everything adapts around it. Steady breath will help your heart beat more regularly, which will entrain the rest of your body to the same rhythm."
